%time Input_Analog Output_Analog
0 0 0
1e-10 0.000207345115 1.29582597963e-08
2e-10 0.000414690229182 3.23954469987e-08
3e-10 0.000622035341727 6.47900840418e-08
4e-10 0.000829380451816 1.10141360982e-07
5e-10 0.00103672555863 1.68448467877e-07
6e-10 0.00124407066135 2.3971059478e-07
7e-10 0.00145141575916 3.23926931749e-07
8e-10 0.00165876085124 4.21096668837e-07
9e-10 0.00186610593678 5.31218996098e-07
1e-09 0.00207345101494 6.54293103586e-07
1.1e-09 0.00228079608492 7.90318181354e-07
1.2e-09 0.0024881411459 9.39293419454e-07
1.3e-09 0.00269548619705 1.10121800794e-06
1.4e-09 0.00290283123756 1.27609113686e-06
1.5e-09 0.00311017626661 1.46391199627e-06
1.6e-09 0.00331752128338 1.66467977621e-06
1.7e-09 0.00352486628706 1.87839366674e-06
1.8e-09 0.00373221127682 2.10505285791e-06
1.9e-09 0.00393955625184 2.34465653976e-06
2e-09 0.00414690121132 2.59720390235e-06
2.1e-09 0.00435424615442 2.86269413571e-06
2.2e-09 0.00456159108033 3.14112642991e-06
2.3e-09 0.00476893598823 3.43249997497e-06
2.4e-09 0.00497628087731 3.73681396096e-06
2.5e-09 0.00518362574674 4.05406757792e-06
2.6e-09 0.00539097059571 4.38426001588e-06
2.7e-09 0.00559831542339 4.7273904649e-06
2.8e-09 0.00580566022898 5.08345811502e-06
2.9e-09 0.00601300501164 5.45246215628e-06
3e-09 0.00622034977056 5.83440177872e-06
3.1e-09 0.00642769450493 6.2292761724e-06
3.2e-09 0.00663503921392 6.63708452734e-06
3.3e-09 0.00684238389672 7.05782603359e-06
3.4e-09 0.00704972855251 7.4914998812e-06
3.5e-09 0.00725707318046 7.93810526019e-06
3.6e-09 0.00746441777976 8.39764136061e-06
3.7e-09 0.0076717623496 8.87010737251e-06
3.8e-09 0.00787910688915 9.35550248591e-06
3.9e-09 0.00808645139759 9.85382589086e-06
4e-09 0.00829379587411 1.03650767774e-05
4.1e-09 0.00850114031789 1.08892543355e-05
4.2e-09 0.00870848472811 1.14263577554e-05
4.3e-09 0.00891582910394 1.19763862269e-05
4.4e-09 0.00912317344458 1.25393389401e-05
4.5e-09 0.0093305177492 1.31152150851e-05
4.6e-09 0.00953786201699 1.37040138519e-05
4.7e-09 0.00974520624712 1.43057344305e-05
4.8e-09 0.00995255043878 1.4920376011e-05
4.9e-09 0.0101598945911 1.55479377834e-05
5e-09 0.0103672387034 1.61884189377e-05
5.1e-09 0.0105745827747 1.68418186639e-05
5.2e-09 0.0107819268043 1.75081361522e-05
5.3e-09 0.0109892707913 1.81873705925e-05
5.4e-09 0.011196614735 1.88795211748e-05
5.5e-09 0.0114039586344 1.95845870892e-05
5.6e-09 0.0116113024888 2.03025675257e-05
5.7e-09 0.0118186462974 2.10334616744e-05
5.8e-09 0.0120259900593 2.17772687252e-05
5.9e-09 0.0122333337737 2.25339878682e-05
6e-09 0.0124406774399 2.33036182934e-05
6.1e-09 0.0126480210569 2.40861591909e-05
6.2e-09 0.012855364624 2.48816097507e-05
6.3e-09 0.0130627081403 2.56899691627e-05
6.4e-09 0.0132700516051 2.65112366171e-05
6.5e-09 0.0134773950175 2.73454113038e-05
6.6e-09 0.0136847383767 2.81924924129e-05
6.7e-09 0.0138920816818 2.90524791343e-05
6.8e-09 0.0140994249321 2.99253706582e-05
6.9e-09 0.0143067681268 3.08111661745e-05
7e-09 0.014514111265 3.17098648733e-05
7.1e-09 0.0147214543458 3.26214659445e-05
7.2e-09 0.0149287973686 3.35459685783e-05
7.3e-09 0.0151361403324 3.44833719646e-05
7.4e-09 0.0153434832364 3.54336752934e-05
7.5e-09 0.0155508260799 3.63968777547e-05
7.6e-09 0.015758168862 3.73729785386e-05
7.7e-09 0.0159655115819 3.83619768352e-05
7.8e-09 0.0161728542388 3.93638718343e-05
7.9e-09 0.0163801968318 4.0378662726e-05
8e-09 0.0165875393601 4.14063487004e-05
8.1e-09 0.016794881823 4.24469289475e-05
8.2e-09 0.0170022242195 4.35004026572e-05
8.3e-09 0.0172095665489 4.45667690196e-05
8.4e-09 0.0174169088104 4.56460272247e-05
8.5e-09 0.0176242510031 4.67381764625e-05
8.6e-09 0.0178315931263 4.7843215923e-05
8.7e-09 0.0180389351791 4.89611447963e-05
8.8e-09 0.0182462771606 5.00919622723e-05
8.9e-09 0.0184536190701 5.12356675411e-05
9e-09 0.0186609609067 5.23922597926e-05
9.1e-09 0.0188683026697 5.3561738217e-05
9.2e-09 0.0190756443582 5.47441020041e-05
9.3e-09 0.0192829859714 5.5939350344e-05
9.4e-09 0.0194903275085 5.71474824267e-05
9.5e-09 0.0196976689686 5.83684974422e-05
9.6e-09 0.0199050103509 5.96023945806e-05
9.7e-09 0.0201123516547 6.08491730318e-05
9.8e-09 0.0203196928791 6.21088319858e-05
9.9e-09 0.0205270340232 6.33813706327e-05
