%time Input_Analog Output_Analog
0 0 0
1e-10 0.00207345101494 1.29582589522e-07
2e-10 0.00414690121132 3.23954423561e-07
3e-10 0.00622034977056 6.47900646274e-07
4e-10 0.00829379587411 1.10141303162e-06
5e-10 0.0103672387034 1.6844833029e-06
6e-10 0.0124406774399 2.39710313281e-06
7e-10 0.014514111265 3.23926414335e-06
8e-10 0.0165875393601 4.21095790595e-06
9e-10 0.0186609609067 5.31217594135e-06
1e-09 0.0207343750863 6.54290971971e-06
1.1e-09 0.0228077810803 7.90315066053e-06
1.2e-09 0.0248811780702 9.39289013271e-06
1.3e-09 0.0269545652373 1.10121194545e-05
1.4e-09 0.0290279417632 1.27608298936e-05
1.5e-09 0.0311013068294 1.46390126671e-05
1.6e-09 0.0331746596172 1.66466589413e-05
1.7e-09 0.0352479993082 1.87837598321e-05
1.8e-09 0.0373213250839 2.10503064048e-05
1.9e-09 0.0393946361257 2.3446289674e-05
2e-09 0.0414679316151 2.59717006037e-05
2.1e-09 0.0435412107336 2.86265301074e-05
2.2e-09 0.0456144726627 3.14107690479e-05
2.3e-09 0.047687716584 3.43244082376e-05
2.4e-09 0.0497609416789 3.73674384381e-05
2.5e-09 0.051834147129 4.05398503605e-05
2.6e-09 0.0539073321158 4.38416346655e-05
2.7e-09 0.0559804958208 4.7272781963e-05
2.8e-09 0.0580536374256 5.08332828125e-05
2.9e-09 0.0601267561118 5.45231277227e-05
3e-09 0.0621998510608 5.8342307152e-05
3.1e-09 0.0642729214544 6.22908115081e-05
3.2e-09 0.066345966474 6.63686311483e-05
3.3e-09 0.0684189853013 7.05757563792e-05
3.4e-09 0.0704919771178 7.49121774568e-05
3.5e-09 0.0725649411053 7.93778845869e-05
3.6e-09 0.0746378764452 8.39728679243e-05
3.7e-09 0.0767107823193 8.86971175736e-05
3.8e-09 0.0787836579092 9.35506235889e-05
3.9e-09 0.0808565023965 9.85333759734e-05
4e-09 0.082929314963 0.00010364536468
4.1e-09 0.0850020947903 0.000108886579612
4.2e-09 0.0870748410601 0.00011425701062
4.3e-09 0.0891475529542 0.000119756647506
4.4e-09 0.0912202296542 0.000125385480021
4.5e-09 0.0932928703419 0.000131143497865
4.6e-09 0.0953654741991 0.000137030690689
4.7e-09 0.0974380404074 0.000143047048091
4.8e-09 0.0995105681488 0.000149192559621
4.9e-09 0.101583056605 0.000155467214776
5e-09 0.103655504958 0.000161871003006
5.1e-09 0.105727912389 0.000168403913707
5.2e-09 0.107800278081 0.000175065936226
5.3e-09 0.109872601214 0.00018185705986
5.4e-09 0.111944880972 0.000188777273856
5.5e-09 0.114017116536 0.000195826567408
5.6e-09 0.116089307087 0.000203004929662
5.7e-09 0.118161451809 0.000210312349712
5.8e-09 0.120233549882 0.000217748816604
5.9e-09 0.122305600488 0.00022531431933
6e-09 0.124377602811 0.000233008846834
6.1e-09 0.126449556031 0.000240832388009
6.2e-09 0.128521459331 0.000248784931698
6.3e-09 0.130593311892 0.000256866466693
6.4e-09 0.132665112898 0.000265076981734
6.5e-09 0.134736861529 0.000273416465515
6.6e-09 0.136808556968 0.000281884906675
6.7e-09 0.138880198398 0.000290482293805
6.8e-09 0.140951785 0.000299208615446
6.9e-09 0.143023315956 0.000308063860086
7e-09 0.145094790449 0.000317048016165
7.1e-09 0.147166207661 0.000326161072072
7.2e-09 0.149237566774 0.000335403016145
7.3e-09 0.15130886697 0.000344773836673
7.4e-09 0.153380107432 0.000354273521893
7.5e-09 0.155451287342 0.000363902059993
7.6e-09 0.157522405882 0.000373659439109
7.7e-09 0.159593462235 0.000383545647329
7.8e-09 0.161664455583 0.000393560672688
7.9e-09 0.163735385108 0.000403704503173
8e-09 0.165806249993 0.000413977126719
8.1e-09 0.167877049421 0.000424378531211
8.2e-09 0.169947782573 0.000434908704485
8.3e-09 0.172018448633 0.000445567634325
8.4e-09 0.174089046782 0.000456355308464
8.5e-09 0.176159576204 0.000467271714588
8.6e-09 0.178230036081 0.00047831684033
8.7e-09 0.180300425595 0.000489490673272
8.8e-09 0.18237074393 0.000500793200949
8.9e-09 0.184440990267 0.000512224410842
9e-09 0.186511163791 0.000523784290385
9.1e-09 0.188581263682 0.000535472826958
9.2e-09 0.190651289125 0.000547290007895
9.3e-09 0.192721239301 0.000559235820476
9.4e-09 0.194791113395 0.000571310251933
9.5e-09 0.196860910588 0.000583513289447
9.6e-09 0.198930630063 0.000595844920148
9.7e-09 0.201000271003 0.000608305131117
9.8e-09 0.203069832592 0.000620893909385
9.9e-09 0.205139314012 0.00063361124193
1e-08 0.207208714447 0.000646457115683
1.01e-08 0.209278033078 0.000659431517524
1.02e-08 0.21134726909 0.00067253443428
1.03e-08 0.213416421666 0.000685765852733
1.04e-08 0.215485489988 0.000699125759609
1.05e-08 0.21755447324 0.000712614141588
1.06e-08 0.219623370604 0.000726230985298
1.07e-08 0.221692181265 0.000739976277317
1.08e-08 0.223760904405 0.000753850004173
1.09e-08 0.225829539208 0.000767852152343
1.1e-08 0.227898084858 0.000781982708256
1.11e-08 0.229966540536 0.000796241658288
1.12e-08 0.232034905428 0.000810628988766
1.13e-08 0.234103178715 0.000825144685969
1.14e-08 0.236171359583 0.000839788736121
1.15e-08 0.238239447213 0.0008545611254
1.16e-08 0.240307440791 0.000869461839933
1.17e-08 0.242375339499 0.000884490865795
1.18e-08 0.244443142521 0.000899648189012
1.19e-08 0.246510849041 0.000914933795562
1.2e-08 0.248578458242 0.000930347671368
1.21e-08 0.250645969309 0.000945889802308
1.22e-08 0.252713381424 0.000961560174207
1.23e-08 0.254780693772 0.00097735877284
1.24e-08 0.256847905537 0.000993285583932
1.25e-08 0.258915015902 0.00100934059316
1.26e-08 0.260982024052 0.00102552378615
1.27e-08 0.26304892917 0.00104183514847
1.28e-08 0.26511573044 0.00105827466565
1.29e-08 0.267182427047 0.00107484232316
1.3e-08 0.269249018175 0.00109153810644
1.31e-08 0.271315503007 0.00110836200085
1.32e-08 0.273381880729 0.00112531399171
1.33e-08 0.275448150523 0.00114239406431
1.34e-08 0.277514311575 0.00115960220387
1.35e-08 0.279580363069 0.00117693839556
1.36e-08 0.281646304189 0.0011944026245
1.37e-08 0.283712134119 0.00121199487578
1.38e-08 0.285777852044 0.00122971513441
1.39e-08 0.287843457149 0.00124756338537
1.4e-08 0.289908948617 0.00126553961358
1.41e-08 0.291974325635 0.00128364380392
1.42e-08 0.294039587385 0.00130187594121
1.43e-08 0.296104733053 0.00132023601022
1.44e-08 0.298169761824 0.00133872399569
1.45e-08 0.300234672882 0.00135733988228
1.46e-08 0.302299465412 0.00137608365461
1.47e-08 0.304364138599 0.00139495529727
1.48e-08 0.306428691628 0.00141395479478
1.49e-08 0.308493123684 0.0014330821316
1.5e-08 0.310557433951 0.00145233729217
1.51e-08 0.312621621615 0.00147172026086
1.52e-08 0.314685685862 0.00149123102199
1.53e-08 0.316749625875 0.00151086955984
1.54e-08 0.318813440841 0.00153063585863
1.55e-08 0.320877129944 0.00155052990253
1.56e-08 0.32294069237 0.00157055167568
1.57e-08 0.325004127304 0.00159070116215
1.58e-08 0.327067433931 0.00161097834595
1.59e-08 0.329130611438 0.00163138321107
1.6e-08 0.331193659009 0.00165191574143
1.61e-08 0.33325657583 0.0016725759209
1.62e-08 0.335319361087 0.00169336373332
1.63e-08 0.337382013964 0.00171427916245
1.64e-08 0.339444533649 0.00173532219202
1.65e-08 0.341506919326 0.0017564928057
1.66e-08 0.343569170182 0.00177779098713
1.67e-08 0.345631285402 0.00179921671988
1.68e-08 0.347693264173 0.00182076998747
1.69e-08 0.349755105679 0.00184245077338
1.7e-08 0.351816809108 0.00186425906103
1.71e-08 0.353878373646 0.00188619483381
1.72e-08 0.355939798477 0.00190825807503
1.73e-08 0.358001082789 0.00193044876799
1.74e-08 0.360062225768 0.00195276689589
1.75e-08 0.3621232266 0.00197521244192
1.76e-08 0.364184084472 0.00199778538921
1.77e-08 0.36624479857 0.00202048572083
1.78e-08 0.36830536808 0.00204331341982
1.79e-08 0.370365792188 0.00206626846914
1.8e-08 0.372426070082 0.00208935085173
1.81e-08 0.374486200949 0.00211256055047
1.82e-08 0.376546183974 0.00213589754818
1.83e-08 0.378606018344 0.00215936182765
1.84e-08 0.380665703247 0.0021829533716
1.85e-08 0.38272523787 0.00220667216271
1.86e-08 0.384784621398 0.00223051818362
1.87e-08 0.386843853019 0.00225449141689
1.88e-08 0.388902931921 0.00227859184507
1.89e-08 0.39096185729 0.00230281945063
1.9e-08 0.393020628313 0.002327174216
1.91e-08 0.395079244178 0.00235165612357
1.92e-08 0.397137704072 0.00237626515566
1.93e-08 0.399196007182 0.00240100129456
1.94e-08 0.401254152696 0.0024258645225
1.95e-08 0.403312139802 0.00245085482166
1.96e-08 0.405369967686 0.00247597217418
1.97e-08 0.407427635536 0.00250121656213
1.98e-08 0.40948514254 0.00252658796755
1.99e-08 0.411542487887 0.00255208637243
2e-08 0.413599670762 0.0025777117587
2.01e-08 0.415656690355 0.00260346410824
2.02e-08 0.417713545854 0.00262934340288
2.03e-08 0.419770236445 0.00265534962442
2.04e-08 0.421826761318 0.00268148275459
2.05e-08 0.423883119661 0.00270774277508
2.06e-08 0.425939310661 0.00273412966751
2.07e-08 0.427995333507 0.00276064341348
2.08e-08 0.430051187388 0.00278728399453
2.09e-08 0.432106871491 0.00281405139214
2.1e-08 0.434162385005 0.00284094558775
2.11e-08 0.436217727118 0.00286796656275
2.12e-08 0.43827289702 0.00289511429847
2.13e-08 0.440327893898 0.00292238877622
2.14e-08 0.442382716942 0.00294978997722
2.15e-08 0.444437365341 0.00297731788267
2.16e-08 0.446491838282 0.00300497247371
2.17e-08 0.448546134956 0.00303275373143
2.18e-08 0.45060025455 0.00306066163687
2.19e-08 0.452654196255 0.00308869617103
2.2e-08 0.454707959259 0.00311685731484
2.21e-08 0.456761542752 0.00314514504921
2.22e-08 0.458814945922 0.00317355935496
2.23e-08 0.46086816796 0.00320210021291
2.24e-08 0.462921208054 0.00323076760379
2.25e-08 0.464974065394 0.0032595615083
2.26e-08 0.46702673917 0.00328848190709
